model,accuracy,precision,recall,f1_score,roc_auc,avg_precision
Logistic Regression,0.8585,0.18100890207715134,0.8970588235294118,0.3012345679012346,0.9402478382657411,0.4492549132670608
Gradient Boosting,0.9595,0.45038167938931295,0.8676470588235294,0.592964824120603,0.9775035014005603,0.8650380578325504
Random Forest,0.978,0.6333333333333333,0.8382352941176471,0.7215189873417721,0.9796994884910486,0.8358107249857191
XGBoost,0.972,0.5588235294117647,0.8382352941176471,0.6705882352941176,0.9807575203994642,0.8712800936833539
